calm|We don't meet people by accident. They are meant to cross our path for a reason.
happy|Life's short, forget your problems, be happy, and live your life because you never know if there will be another tomorrow. :)
sad|Even though she Will leave you.....
angry|Sometimes one middle finger isn't enough to let someone know how you feel. That's why you have two hands.
calm|The mind is like a parachute. It works well when it is open.
calm|Every positive thought is a silent prayer which will change your life.
calm|Always do the best you can for whoever is around you because tomorrow either THEY MAY BE GONE or YOU MAY BE GONE.
calm|Don't compare your life to others. There is no comparison between the Sun and the Moon. They shine when it's their time.
calm|When you're tempted to lose patience with someone, think how patient God has been with you all the time.
angry|I am wondering why the phrase, "It's none of my business" must always be followed by, "but"?
angry|People like to bring up your past, when your present and future look better than theirs.
sad|Lost My Queen ????
calm|A child asked God: If everything is already written in destiny, then why should I wish? God smiled and said: May be on some pages I have written "As you wish".
calm|life becomes sweet in the measure in which we understand others.
calm|The Heart is a very good fertilizer; anything we plant-love,hate, fear, hope,revenge,surely grows and bears fruit. We have to decide what to harvest.
calm|A candle loses nothing by lighting another candle.
sad|?? There are others having everything????
happy|Happiness isn't having a lot, its being content with what you have!
angry|I sometimes wish that I WASN'T old enough to know better.
happy|Keep Smiling &amp; One day Life will tired of upsetting you:)
sad|that'd be ultimate sadness
sad|Fuck this shit.  Real friends don't leave. But real friends are rare
angry|If I send you a text and you don't respond, and then I see you update Facebook at the same time, you're dead to me.
sad|Plz create sadness pic ..which one i hve sent ur inbox
sad|Great idea, atleast the people who can't say directly, for them it will  work out well
happy|you are with that person, hours feel like seconds.
angry|What goes around comes around, that's what people say. So all the pain you caused me will come back to you someday.
calm|Peace of mind is a beautiful gift, which only we can give overselves, by expecting nothing, even after doing everything..
sad|No. Just remain as it is
calm|blessed is the person who beholds rainbows in thunderstroms. Such a one is never discouraged!
calm|A relationship does not need a cute voice and a lovely face. It just needs a beautiful heart and unbreakable trust.
calm|Love and kindness are never wasted. They always make a difference. They bless the one who receives them and they bless you, the giver.
calm|Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth and your heart for love.
calm|See the one life in all creation, and give love to all!
angry|Some status updates need a "This is why I unfriended you" button.
happy|WoW..she is absolutely awesome
sad|Wen u love some 1 but he doesn't care abt ur feelings
happy|Love you Grandma...????????
sad|when u know some one loves u .,but afraid to tell u .! and won't even listen to u
happy|Just gave me much life???
calm|Forgiveness should start with oneself. Until we are able to forgive ourselves, we will not be able to forgive others.
angry|Once I delete your number you're deleted from my life.
happy|Yooo yooo yooo. She is amazing
angry|When people hurt you, think of them like sand paper. They may scratch and hurt you but in the end, you end up polished and they end up useless.
happy|Great....
angry|Go ahead, judge me. Just remember to be perfect for the rest of your life!!
happy|You Rock!??
happy|She's so amazing
angry|I text/chat with you because I want to have a conversation with you...Not to get one word answers.
angry|Don't act so relieved, I don't actually forgive people, I just pretend like everythings ok and wait for my turn to destroy them.
angry|I want an application that will automatically unfriend all the people who've been friends with me for over a year and have never liked or commented on any of my posts or messaged me.
angry|It's not that I don't believe you, I'm just 100% sure you're full of crap.
calm|Love reclaims. Love transforms. Sermons or lectures do not touch the hearts of the people; the power of love does.
happy|WONDERFUL!!!??????
happy|Amazing ????????????????
angry|I'm trying realllly hard to find a good excuse...oh wait there is no good excuse for cheating in a relationship.
angry|Anger is a feeling that makes your mouth work faster than your mind.
angry|I wouldn't have to manage my anger if people would learn to manage their stupidity.
sad|I miss my friend ...
happy|<3 Life's Code Of Happiness
happy|Yeah totally agree it would be nice
sad|i miss you Mira BA I'm feeling alone
angry|Never forget what someone says to you when they are angry...that's when the truth comes out.
happy|Absolutely very true
sad|Thn do not love anyone
sad|When u love someone n he cnt b urs
sad|Sadness is when your best friend cheated on you ... !!!! ??????????????????
happy|Yes.  I find it difficult to cry, but definitely sometimes just need the alone time
sad|miss u guys Scarlet Garlie ,  Guloona Shah
angry|I'm only responsible for what I say, not for what you understand.
angry|Definition of EX: Thanks for the EXperience. Our time has EXpired. Now EXit my life.
happy|Yes!! Love the pink ROSE!!
calm|Being at peace is the ultimate position of power.
angry|Never forget what someone says to you when they are angry...that's when the truth comes out.
happy|I wish the same for you always..!!!
happy|One of the sweetest, kindest person, my darling Appa .. Miss him very very much!
happy|Yeah, it sure was ????
sad|Awwww....sadnesss....sach me....hope to see u guys soon again
angry|It takes a lot of energy to get angry. I don't care to use my energy that way.
sad|I vil miss u toO
happy|Haha Rachna Dubey I felt it today. Thanks to Technology no more going to a booth.  ??
calm|Peace is accepting today, releasing yesterday, and giving up the need to control tomorrow.
angry|I don't regret my past. I only regret wasting time on the wrong people.
happy|Yesss, thank god for FaceTime ??
happy|Your voice.. Waziha Kabir??
happy|U Ar the best.....Love You soooooo much Bua jiiìi......??????????
calm|Smiles are fat-free sugar-free & tax-free reduces blood pressure Helps relieve pain & depression. Require no batteries Absolutly free of cost So keep SMILING..
calm|It time tp work on your mind! Don't let past situations replay in your mind. Let go of the negative feelings and graduges.
happy|So cuteeeee
happy|Kellie Wallis you’d be happy all the time then because you have two of the worlds best!! Hey Kelsea Jay??
