sad|It's hard to wait around for something that you know might not happen but it's even harder to give up,when you know it's everything you ever wanted…
happy|Smile because it makes you beautiful.
calm|Lie down on the floor and keep calm. 
angry|No matter how much the truth hurts, it's always better than being lied to.
happy|If you can make even one person smile today, then you have had a very successful, productive day.
happy|The secret of being happy is accepting where you are in life and making the most out of everyday.
angry|Nobody makes you angry, you decide to use anger as a response.
angry|Don't get mad, smile and creep them out instead.
happy|When you smile it means that you can See Miracles In Life Everyday.
sad|If you love me won't you let me know..!! sad whatsapp status
calm|The pink sunset reminds me of her, and the calm water matches the calm that images of her bring to my heart.
angry|Some people come into our lives & leave footprints on our hearts. Others come into our lives & make us wanna leave footprints on their face.
angry|I'm a little bitter today, sorry if I offend anyone, but right now with the mood, I'm in I really don't care..
sad|LoVe Isn't a thing that you can play with. You will know the value of love when you get a true love and someone else play with you…
sad|Our sweetest songs are those that tell of the saddest thoughts.
sad|Sorrow is like a precious treasure, shown only to friends.
calm|remember when you forgive, you heal. When you let go, you grow.
angry|Sometimes I'm just not in the mood to talk.Anger is never without a reason, but seldom with a good one.
sad|I want you to be FREE, but i can watch you SOAR away from me.
happy|You won't have a happy life if you worry about what others say about you.
happy|I love that I can smile by just thinking about you.
sad|When you are in a habit to talk someone daily, a day without talking to them feels like a year passed
sad|You cannot protect yourself from sadness without protecting yourself from happiness.
angry|Some people are only alive because it is illegal to shoot them.
calm|Worry is a total waste of time. It doesn't change anything. All it does is steal your joy and keeps you very busy doing nothing.
calm|Peace is accepting today, releasing yesterday, and giving up the need to control tomorrow.
happy|Most smiles are started by another smile.
happy|You, my dear, know how to make my heart smile.
angry|You think that you have damaged me but really you just made me much more stronger. Thank you.
happy|A kind heart is a fountain of gladness. It makes everything in its vicinity turn into a smile.
happy|Happiness resides not in possessions and not in gold; the feeling of happiness dwells in the soul.
calm|make compassion the cotton, contentment the thread, modestry the knot and truth the twist. This is the sacred thread of the soul.
angry|I am fed up of being ignored and getting hurt.
sad|No one will ever understand how much it hurts
calm|Coins always make a sound but the currency notes are always silent,So when ur value increases, keep yourself calm and silent.
happy|Only people who aren't happy being single believe you can't be happy being single.
sad|I'm tired of fighting. For once, I want to be fought for.
happy|If you don't understand my silence, you will not understand my words.
happy|Come on buddy! Let us rejoice and play each other with colors and make our life colorful.
angry|I told you I needed you, you told me the same. I wasn't lying, so why didn't you tell the truth?
angry|Some people need to open their small minds instead of their big mouths.
angry|For every minute you remain angry, you give up sixty seconds of peace of mind.
angry|The best fighter is never angry..
happy|This is my day, I will live my life how I want it to be, who knows what will happen tomorrow.
angry|Anger makes dull men witty, but it keeps them poor.
happy|You can't be happy unless you're unhappy sometimes.
angry|I am in a mood to kill somebody today.
sad|Happiness is good health and a bad memory.
sad|Never put your own happiness in someone else hands.
angry|I have left behind All the shit you said and moved on.
angry|Today's relationship: You can touch each other but not each other's phones.
sad|Sometimes it's hard to love someone because you're so afraid of losing them.
happy|You can't be happy unless you're unhappy sometimes.
sad|The greater your capacity to love, the greater your capacity to feel the pain.
happy|Never underestimate the importance of having a person in your life who can always make you smile.
happy|I am still wearing the smile that you gave me.
calm|Calm mind brings inner strength and self-confidence, so that's very important for good health.
happy|When you smile it means that you can See Miracles In Life Everyday.
calm|Kindness makes you the most beautiful person in the world, no matter what you look like.
calm|The weak can never forgive. Forgiveness is the attribute of the strong.
sad|Moving forward in life isn't the hard part, it's leaving behind someone, you thought was meant to move forward with you
calm|Stay Calm, take a breath and reload.
angry|Ya know what I hate...being ignored! If you don't want to talk to me anymore then just tell me and quit beating around the bush.
happy|Always try to smile, because your smile can give other people a reason to smile too.
calm|The bigger the dam of patience, the worse the flood when the dam breaks.
angry|Congratulation! My tallest finger wants to give you a standing ovation.
angry|Just too many fucking Idiots.
calm|A fool is known by his speech; and a wise man by silence. 
sad|You know my name not my story…
angry|If you are patient in one moment of anger, you will escape a hundred days of sorrow.
sad|Missing you comes in waves, and tonight I'm drowning.
calm|Keep calm and grow magic pomegranates.
happy|A smile is the cheapest makeover that you can give yourself.
calm|You know you've made the right decision when there is peace in your heart.
angry|Never make yourself feel like nothing to make someone else feel like everything.
angry|A Quick Temper Will Make A Fool Of You Soon Enough.
sad|My silence is just another word for my pain.
angry|Only Two People will tell you the truth about yourself : someone who is angry with you and someone who loves you.
sad|One of the hardest things in life is watching the person you love, love someone else.
happy|Time, you can't keep it, but you can spend it.
angry|You! ' Get out of my Life.
sad|Sometimes All You Need Is One Person Who Cares.
angry|...is in a BAD mood. For no reason at all. Don't ask me why. Just leave me the F..bad.. alone and go F..bad.. yourself. Have a nice day.
calm|Rivers know this: there is no hurry. We shall get there some day.
happy|Sometimes you have to stand alone to prove that you can still stand.
angry|I hate two-faced people. It's so hard to decide which face to slap first.
sad|I will never stop caring, but if you decide to push me away, I will go.
calm|Patience, persistence and perspiration make an unbeatable combination for success.
sad|The worst feeling is when you smile at your crush, but they don't even acknowledge your existence.
sad|The most painful Moment are those which were never said and never explained….
sad|I like to listen sad Song, when I'm sad to make me double sad…
happy|My personal ambition remains the same – to be creative, to be modern, to stay one step ahead, to enjoy life.
sad|People cry not because they are weak, It's because they've been strong for too long.
happy|To be happy, we must not be too concerned with others.
sad|Depression is the inability to construct a future
angry|I hope karma slaps you in the face before I do.
sad|The past cannot hurt you anymore, not unless you let it.
sad|Thank you for breaking my heart, because without that I wouldn't be the person I am today with the person I love.
happy|When you are raising your children, do not forget to smile every day. Kids remember a lot more than you think and they will remember that their parents were happy and that they smiled and made good memories.
calm|Endurance is nobler than strength, and patience than beauty.
angry|I'm gonna come back as a bird in my next life. There are some people who I feel deserve a little of their own medicine.
angry|Some people just need a high-five. In the face. With a chair.
happy|I am happy with my confidence level.
happy|It is always nice to have someone in your life that can have the ability to make you want to smile even when they are not around. Just the very thought of that person will put a huge grin on your face.
sad|Some people come in your life just to teach you how to let go.
happy|Life's short, forget your problems, be happy, and live your life because you never know if there will be another tomorrow.
sad|I Feel I'm missing ,something in my life these days. ..
angry|You can't break what's already been shattered.
happy|Smiling has always been easier than having to explain to others why you are sad.
sad|Dying seems less sad than having lived too little...
calm|Remain calm, serene, always in command of yourself. You will then find out how easy it is to get along. 
happy|Happiness pulses with every beat of my heart.
happy|Happiness depends not on material things but to our view on the things.
angry|Never go to bed angry, stay awake and plot your revenge!
angry|I care. I always care. That is my problem. Now I don't care.
sad|Has never hated life more, than I do at this very moment.
angry|If I send you a text and you don't respond, and then I see you update Facebook at the same time, you're dead to me.
sad|If you love me let me know. If not please gently let me go!
sad|Sleeping because you are upset..
sad|If you love someone, set them free. If they come back they're yours, if they don't they never were.
sad|It hurts, but it's OK.. I'm used to it.
happy|Hug Harder. Laugh Louder. Smile Bigger. Love Longer.
calm|You must first have a lot of patience to learn to have patience.
sad|Under my smile there are lies and under those lies is the truth !
calm|Silence is so freaking loud. 
happy|If you want to make your dreams come true, The first thing you have to do is wake up.
sad|And those who are heartless once cared too much.
happy|A smile is the most beautiful curve on a woman's body.
sad|The person who once topped the inbox, now flashes in "people you may know.".!!
sad|I Feel So Stupid for Still Loving You : sad whatsapp status
calm|Rain drops may be small. But their continuous fall can make a river overflow. So also, small and consistent efforts can make a massive change in life.
sad|The worst feeling in the world is knowing that u r no longer that important as u were.
sad|It's so hard to forget someone who gave you so much to remember.
sad|Love comes at first sight; injuries too.
sad|It's sad to be happy alone in Life..
happy|We always have at least one reason to smile.
angry|You don't actually understand how upset you've made me.
angry|Don't try to please other people. In the end you know it won't work ??????
angry|Knows there's a name for people like you.
happy|The most wasted day is the one without any smiles or laughter.
sad|May it's not about the happy ending.May be it's about story…
angry|You never realize how much one little thing can hurt a girl.
sad|i looked into the eyes of who i thought was an angel i didnt know i was looking into the eyes of who would cause me hell
happy|I love it when you smile, but I love it even more when I am the reason behind your smile.
angry|I text you because I want to have a conversation with you. Not to get one word answers.????
sad|I remember the way u used to look at me … and now, I notice the way u ignore me…
angry|Bitch, I will punch you by accident on purpose
happy|When life gives you lemonade, make lemonade, but when live gives you LIMES, rearrange the letters until they can spell out a smile.
sad|There's no point in crying, the tears won't bring you back to me.
angry|The world is full of liars.
calm|The key to everything is patience. You get the chicken by hatching the egg, not by smashing it.
happy|It's never too late – never too late to start over, never too late to be happy.
calm|Patience can't be acquired overnight. It is just like building up a muscle. Every day you need to work on it.
happy|Stop crying over yesterday and stat smiling about tomorrow.
happy|At the end of the day, a fake smile is better than a nasty stare. Smile even when you are nervous because it might help to calm you down.
angry|Anger is fear in disguise.
angry|I actually don't need to control my anger. Everyone around me needs to control their habit of pissing me off'
angry|Don't make so many promises if you can't even keep one.
sad|If i need to choose between your life and my life, i always choose yours cause without you there wont be any part of life left for me too.
angry|Anger is our natural defence against pain. So when I say, I hate u -It really means you hurt me??????
sad|Sometimes, memories are the reason why we can't move on.
angry|Telling someone to calm down just makes them so much more angry.
sad|A feeling of sadness seemingly without a cause..
happy|You can't be happy unless you're unhappy sometimes.
happy|Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.
angry|It appears my back was made for stabbing...
sad|Every heart has a pain.Only the way of expressing it is different. Fools hide it in eyes, while the brilliant hide it in their smile.
happy|Always remember to cover your mouth when you cough but never cover it when you smile.
sad|I hate it when crying is the only way to feel better
sad|Never put your happiness in someone else's hands.
sad|Sometimes you just need to get away.
angry|Sometimes I get to the point of frustration, that I just become silent.
calm|Forgiveness does not erase the pains of the past but it will open up a road to a brighter future.
happy|Happy life is in the peace of mind.
sad|If distance is a solution to reduce complications… I want to maintain this distance for eternity
sad|If you lose someone but find yourself, you won.
happy|Always wear a smile. A happy smile will never go out of season or out of fashion.
happy|Smile! It is the second best thing to do with your lips.
calm|as you start and end the day, be thankful for every little thing in your life.
angry|Is singing, "If you're angry & you know it punch their face!"
sad|I tried to forget you, but the harder I tried, the more I thought about you
sad|I just want to feel like I belong..
sad|And it's the road that leads to nowhere. But all I want to do is go there.
sad|There is No Shortcut for Sucess in life…??
happy|can honestly say they's feeling the happiest they's felt in a really long time :D
sad|!Its better to be lonely then, to be played by Bad people.
calm|A man of calm is like a shady tree. People who need shelter come to it. 
angry|You were my cup of tea, I drink coffee now.
angry|Hey, guess what' I don't give a shit anymore
calm|How poor are they that have not patience! What wound did ever heal but by degrees?
sad|The truth hurts for a little while, but lies hurt forever.
happy|Count your life with smiles, not tears.
angry|Why stress over someone that won't even text to see if you're alright?
calm|Every positive thought is a silent prayer which will change your life.
angry|Anger is never without a reason, but seldom with a good one.
happy|The prettiest thing that you can wear cannot be found in stores or in your closet. The prettiest thing that you can wear is a smile.
happy|The true measure of success is how many times you can bounce back from failure.
happy|Every temporary happiness is much better than permanent misery.
sad|Temporary happiness isn't worth long term pain…
happy|Uncertainty is the only certainty there is, and knowing how to live with insecurity is the only security.
happy|I am happy being what I am.
happy|Don't waste a minute not being happy. If one window closes, run to the next window or break down the door!
calm|Patience is the art of hoping.
happy|Do good for others. It will come back in unexpected ways.
angry|Some people come into our lives & leave footprints on our hearts. Others come into our lives & make us wanna leave footprints on their face.
happy|Next time you hit a speed bump otherwise known as the age-old question 'Why are you still single?' look 'em in the eye and say: 'Because I'm too fabulous to settle.'
calm|Lie down on the floor and keep calm. 
sad|I'm here waiting for you….but you never come…..
angry|I didn't text you just to exercise my fingers, I was expecting a reply back.
calm|Keep cool and you will command everyone. 
calm|Do not give up, the beginning is always the hardest.
sad|Sometimes it't not the song that makes you emotional… it's the people and things that come to your mind when you hear it.
angry|I've tried and tried and now I give up. I refuse to be the perfect friend to people that can't treat me with the same respect.
happy|Everyone has some pain in their heart. Some hide it in their eyes while others hide it in their smile.
happy|Silence and smile are two powerful tools. Smile is the way to solve many problems, silence is the way to avoid problems.
sad|I didn't want to wake up. I was having a much better time asleep. And that's really sad. It was almost like a reverse nightmare, like when you wake up from a nightmare you're so relieved. I woke up into a nightmare!
angry|Something I learned about people, if they do it once, they'll do it again.
calm|He who can have patience can have what he will.
angry|My feelings? Oh don't worry about those, no one else does.
calm|All men's miseries derive from not being able to sit in a quiet room alone. 
angry|Fuck it. Fuck off. Fuck you. Fuck her. Fuck him. Fuck this. Fuck that. Fuck all.
happy|Happiness is a habit – cultivate it.
happy|There is no happy life, there are only happy days.
happy|Sometimes the things that you are most afraid of are the things that make you tha happiest.
angry|Go ahead, judge me. Just remember to be perfect for the rest of your life!!
angry|when I am silent, I have thunder hidden inside.
angry|I had a lot of reasons to give up on you. But I still chose to stay. You had a lot of reasons to stay. But you chose to give up..
calm|A spirit of gratitude yields patience, love, and forgiveness.
sad|Pain is the only thing that's telling me I'm still alive.
calm|Two princilpes for a happy life: Use things, not people. Love people, not things.
sad|The scars you can't see are the hardest to heal.
calm|God's plan is perfect; and whatever happens is for the best. There can be no mistakes in God's plan.
angry|Never regret something that once made you smile.
sad|Be careful who you fall in love with,cause someone somewhere not approve…
calm|It's very difficult to be great. Losers prove this point continuously.
sad|The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.
sad|I have no desire to argue with anyone, I choose to walk away because I just want peace.
sad|I miss the way you held me, the way you told me you loved me, I miss it all.
sad|Sometimes you need to run away just to see who will follow you.
angry|Talk to my hand' If you have any questions '> consult my middle finger.
angry|When people hurt you, think of them like sand paper. They may scratch and hurt you but in the end, you end up polished and they end up useless.
happy|Keep smiling, it makes people wonder what you are up to.
happy|You won't have a happy life if you worry about what others say about you.
angry|I don't let just anyone past my walls, so when you misuse my trust, you're gonna get hit by that wall going back up with the force of a speed train.
sad|The worst kind of sad is not being able to explain why.
calm|Anyone can hold the helm when the sea is calm. 
sad|Years passed ,And here i am, alone missing you!
angry|I felt special. Until I realized you talk to everybody like that.
calm|Silence is the ultimate weapon of power. 
calm|Peace cannot be kept by force, it can only be achieved by understanding.
sad|You don't have to accept things you are not okay with.
sad|The more you show your true feelings, the more people find ways to hurt you.
sad|Don't grieve. Anything you lose comes round in another form.
sad|Sometimes it's better to be alone, No one can hurt you that way.
calm|There is a calmness to a life lived in gratitude, a quiet joy. 
happy|A smile makes your eyes friendlier.
happy|Before you put on a frown, make sure that there aren't any smiles available first.
sad|I do believe that if you haven't learnt about sadness, you cannot appreciate happiness.
sad|The more I find myself, the more people I lose.
happy|You make me smile like no one did before.
angry|Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured. But I really don't care.
